canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_types,chatgpt_evidence_count,gemini_evidence_count,total_raw_evidence,total_weighted_evidence,priority_bucket,sample_excerpt,conversation_refs
UNKNOWN,rtx 3090,24,3400,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,ChatGPT-Export|Gemini-Export,30,7,37,36.3,P1,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but pr",ChatGPT-Export:69ec9edd-918c-839a-8728-2dd1a78a3d95|69ece4a2-e3d4-83a0-93dd-ee742c723a32|69ed0427-372c-8398-86ae-b5b3218e3a19|69ed1750-d30c-839b-aff3-aa4d9bafeec2|69ed18c6-9e2c-839a-a64d-b7f54af4b8a2|69ed2fce-3f58-8 || Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 3090,UNKNOWN,1530,https://www.ebay.com.au/itm/314495495380,ChatGPT-Export|Gemini-Export,6,23,29,26.7,P1,"Moderate risk – no warranty or return.|
|Marketplace (typical)|eBay AU / used market|—|24|≈ $850–$1,050|Used|30‑day seller warranty (varies)|High‑rated sellers (> 95 % feedback)|Price tracker indicates used RTX 3090 cards average around US$1,000 (~A$1,530)【356",ChatGPT-Export:69efa03a-cd58-83a0-b9e1-861507d02eb8|69f199b8-63a0-839c-9743-426bcea1420e || Gemini-Export:conversation_1777558354.txt|conversation_1777955851.txt
UNKNOWN,rtx 5090,UNKNOWN,2648,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,ChatGPT-Export|Gemini-Export,4,9,13,12.1,P2,"### 2) The price is **implausibly low**
This listing is **US$1,900 / about AU$2,648** for an **18-inch Ultra 9 / RTX 5090 / 2TB** Legion 9i.",ChatGPT-Export:69e471ea-45b4-839a-969c-c1a32942376a|69e473a6-f9dc-839b-89ea-2b8ce865aba0|69f199b8-63a0-839c-9743-426bcea1420e || Gemini-Export:conversation_1777558354.txt|conversation_1777955851.txt
UNKNOWN,rtx 4080,16,2948,UNKNOWN,ChatGPT-Export,11,0,11,11.0,P2,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Nebula PC R7 7800X3D / RTX 4080 desktop** Prior OzBargain/Nebula listing Ryzen 7 7800X3D; RTX 4080 16GB; 16GB DDR5; 1TB NVMe AUD $2,948 after coupon; historic deal **16GB VRAM** **Active sh",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 3080 ti,16,2345.15,UNKNOWN,ChatGPT-Export,10,0,10,10.0,P2,"A$2,345.15 \ue200cite\ue202turn40view0\ue201 | RTX 3080 Ti Laptop GPU with 16GB GDDR6, 15.6-inch 4K/UHD 144Hz, 32GB DDR5-4800, 2TB NVMe SSD, vapor-chamber cooling.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
acer predator orion,rtx 4080,16,4988,UNKNOWN,ChatGPT-Export,9,0,9,9.0,P2,"|
| DT-008 | Unknown | Unknown | AUD $4,988; new/retail assumed | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Acer Predator Orion 7000 RTX 4080 SUPER desktop** Domayne + other merchants product-search re",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4090,16,3599,UNKNOWN,ChatGPT-Export,8,0,8,8.0,P2,"At **A$3,599**, the Mike PC listing gives you an i9-14900HX, RTX 4090 16GB, 32GB DDR5, 2TB SSD, and a 16-inch 2560×1600 240Hz display, and it is explicitly described as a **demo unit** with **1-year Lenovo Australia manufacturer warranty**.",ChatGPT-Export:69e88ff7-a4c0-839d-8c99-501b955fa5e8|69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e|6a056fb0-9aa0-83ec-bdaa-78b01136fb48
UNKNOWN,rtx 5070 ti,16,3907,https://www.ple.com.au/nvidia/ai/aidevelopment,ChatGPT-Export,8,0,8,8.0,P2,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **PLE AI Advanced RTX 5070 Ti 16GB desktop** PLE AI development build referenced in Stage 2 Ryzen 7 9700X; RTX 5070 Ti 16GB; 32GB DDR5-6000; 2TB NVMe AUD $3,907; built to order **16GB VRAM** ",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rx 7900 xtx,UNKNOWN,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,7,7,6.3,P3,"| Product Identification |                                                    |
| :--------------------: | :------------------------------------------------: |
| **Component**          | AMD Radeon RX 7900 XTX                             |
| **Architecture**  ",Gemini-Export:conversation_1777558354.txt
lenovo legion pro 7i,rtx 4090,32,3599,https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty,ChatGPT-Export,5,0,5,5.0,P3,"| Rank | Machine | Why it lands here |
|---|---|---|
| **1** | **Lenovo Legion Pro 7i, i9-14900HX, RTX 4090, 32GB/2TB, A$3,599** | Best blend of **raw performance, VRAM, upgradeability, and price**.",ChatGPT-Export:69e88ff7-a4c0-839d-8c99-501b955fa5e8|69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7i,rtx 4090,16,5999,https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty,ChatGPT-Export,5,0,5,5.0,P3,"|
| LP-003 | Unknown | Unknown | AUD $5,999 in search result | **Likely 16GB VRAM if RTX 4090** | **Likely 16GB VRAM if RTX 4090** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7i direct Lenovo option** Lenovo + other",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 5070,UNKNOWN,5298,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,ChatGPT-Export|Gemini-Export,1,4,5,4.6,P3,"### 5) **Predator Triton 14 AI RTX 5070**
Technically impressive, but **A$5,298** makes it irrelevant to this budget.",ChatGPT-Export:69d959a3-4650-839f-83e6-f265ebefeb24 || Gemini-Export:conversation_1777955851.txt|conversation_1777961628.txt
UNKNOWN,rx 7900 xtx,24,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,5,5,4.5,P3,"- **Titanium PC Signature Build:** Features the AMD Ryzen 7 7700 or 7800X3D and a brand new RX 7900 XTX 24GB, priced at $4,999 AUD after a substantial discount, focusing on gaming and general compute.",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 4050,32,3499,UNKNOWN,ChatGPT-Export,4,0,4,4.0,P3,"- **HP Spectre x360 16-aa0012TX** — **16-inch 2.8K OLED touch**, **Core Ultra 7**, **RTX 4050**, **32GB LPDDR5x**, **1TB SSD**, **A$3,499** on HP Australia.",ChatGPT-Export:69d959a3-4650-839f-83e6-f265ebefeb24|69e20cd5-7728-839c-a1e8-c58a361e87a2|69e47313-c634-83a1-aa81-1db5c208986e|69e473a6-f9dc-839b-89ea-2b8ce865aba0
UNKNOWN,rtx 4070 ti,12,2599,UNKNOWN,ChatGPT-Export,4,0,4,4.0,P3,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Evatech 7800X3D / RTX 4070 Ti desktop** Historic OzBargain/Evatech listing Ryzen 7 7800X3D; RTX 4070 Ti 12GB; 32GB RAM; 1TB SSD AUD $2,599 historic special; new **12GB VRAM** **Compromise**",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7,rtx 4090,16,4399,UNKNOWN,ChatGPT-Export,4,0,4,4.0,P3,| **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7 i9-13900HX RTX 4090** Current/reformatted report; BuyWisely/DeviceDeal/Amazon AU class i9-13900HX; RTX 4090 Laptop 16GB; 32GB RAM; 2TB SS,ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
alienware m18,rtx 4090,16,4499,UNKNOWN,ChatGPT-Export,4,0,4,4.0,P3,"|
| LP-008 | Unknown | Unknown | AUD $4,499+ class | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Dell Alienware m18 / Area-51 18-inch RTX 4090 class** Dell AU / Dell Outlet path Intel HX i7/i9; RTX 4090 ",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4090,UNKNOWN,UNKNOWN,UNKNOWN,ChatGPT-Export,4,0,4,4.0,P3,"|
| **5** | **RTX 4090 laptop under A$3.5k–4k** | Portable Value Exception | No expansion, but strong if price is sharply discounted.",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 3080 ti,12,4184.8,UNKNOWN,ChatGPT-Export,4,0,4,4.0,P3,"A$4,184.80 \ue200cite\ue202turn36view0\ue201 | RTX 4080 Laptop GPU with 12GB GDDR6; 16-inch 2560\u00d71600 display; title states 240Hz QHD+; i9-13900HX; 32GB RAM; 1TB SSD.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5090,32,UNKNOWN,https://www.mwave.com.au/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56320,ChatGPT-Export|Gemini-Export,2,2,4,3.8,P3,"|Retailer|Mwave|[ASUS ROG Astral LC GeForce RTX 5090 OC Edition](https://www.mwave.com.au/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56320)|ASUS ROG Astral LC|RTX 5090 32 GB GDDR7|$6,499|New|In stock【437213846293720†screensh",ChatGPT-Export:69efa03a-cd58-83a0-b9e1-861507d02eb8 || Gemini-Export:conversation_1777558354.txt|conversation_1777955851.txt
